,PName,geometry,polygon,pname,Status,color
171,R5-S8,"
								0.6064757260949305,41.60538504177119,196.8101525349758 0.6064946529155413,41.60539873195703,196.8141354096384 0.6064515979026064,41.60543144684034,196.9565994312057 0.6064324868784832,41.60541790489478,196.8221654688799 0.6064757260949305,41.60538504177119,196.8101525349758 
							",,,,yellow
172,R5-S8,"
								0.6064968718915842,41.60540146140407,196.808475841352 0.6065124691998292,41.60541265295086,196.7964228955326 0.6064703277872496,41.60544495879847,196.793201871277 0.6064545756942996,41.6054345505392,196.9251950699886 0.6064968718915842,41.60540146140407,196.808475841352 
							",,,,yellow
173,R5-S10,"
								0.6065149859575913,41.60541516627246,196.8110897565155 0.6065345418518953,41.60543021873865,196.7830451470492 0.6064916647651541,41.60546134657921,196.9150938579786 0.606474497098386,41.6054491590882,196.7095671308329 0.6065149859575913,41.60541516627246,196.8110897565155 
							",,,,yellow
174,R5-S11,"
								0.6065369818234001,41.60543178976826,196.783594580926 0.6065551752197096,41.60544552272576,196.7994386981596 0.6065116622486433,41.60547646436373,196.9318339993613 0.6064947558972045,41.60546455859792,196.9865165824641 0.6065369818234001,41.60543178976826,196.783594580926 
							",,,,yellow
175,R5-S12,"
								0.6065573625637355,41.60544758349319,196.8047891997226 0.6065763605685648,41.60546067529643,196.8216305591982 0.6065317504400936,41.60549249383621,196.7829966458288 0.6065139296521282,41.60547965019443,196.8450465522768 0.6065573625637355,41.60544758349319,196.8047891997226 
							",,,,yellow
176,R5-S13,"
								0.6065775525567729,41.60546247597389,196.8216353124168 0.6065948202454319,41.60547534841047,196.8216356236395 0.606551674750635,41.60550896136556,196.7878161845791 0.6065341373191879,41.60549460774257,196.7830012674852 0.6065775525567729,41.60546247597389,196.8216353124168 
							",,,,yellow
177,R5-S14,"
								0.6065988493938468,41.60547757777764,196.8216357311527 0.6066166613128865,41.60549085392044,196.8216332385423 0.6065732908252852,41.60552225630328,196.8815223473673 0.6065546748390727,41.60550959733045,196.7838146733385 0.6065988493938468,41.60547757777764,196.8216357311527 
							",,,,yellow
178,R5-S15,"
								0.6066202030102219,41.60549250015988,196.8216331748831 0.6066382927522462,41.60550597670944,196.8216329541979 0.6065932054433398,41.60553845619174,196.8866601933243 0.6065748486129441,41.60552504181959,196.868560143363 0.6066202030102219,41.60549250015988,196.8216331748831 
							",,,,yellow
179,R5-S16,"
								0.6066391268104288,41.60550806610367,196.8216329160024 0.6066572058853859,41.60552154130082,196.8216327603911 0.6066137099050284,41.60555409678167,196.8741867475125 0.6065955735551665,41.6055402186041,196.797766815755 0.6066391268104288,41.60550806610367,196.8216329160024 
							",,,,yellow
180,R5-S17,"
								0.6066591793757969,41.60552387548444,196.8216303201226 0.6066772409809285,41.60553733131592,196.8274779277181 0.6066336975895958,41.60556955531423,196.8600063275278 0.6066150938653547,41.605556105913,196.8623000002455 0.6066591793757969,41.60552387548444,196.8216303201226 
							",,,,yellow
181,R5-S18,"
								0.6066786060138951,41.60553839376314,196.8320501717818 0.6066966637575755,41.60555148928062,196.8602668873723 0.60665265129628,41.6055852661524,196.9027218382129 0.6066340481097088,41.60557079898901,196.8611829047472 0.6066786060138951,41.60553839376314,196.8320501717818 
							",,,,yellow
182,R5-S19,"
								0.6066996588248297,41.60555398810523,196.8445176902169 0.6067177046287209,41.60556712404033,196.8406965282567 0.6066748031033886,41.60559939966583,196.9072315463295 0.6066569586919202,41.60558648971336,196.8842510683216 0.6066996588248297,41.60555398810523,196.8445176902169 
							",,,,yellow
183,R5-S20,"
								0.6067205169825107,41.60556985343219,196.8386330810779 0.6067375697718114,41.6055826481806,196.821636100376 0.606694950777078,41.60561532703706,196.7938661208472 0.6066783339691884,41.60560207082997,196.8843796626903 0.6067205169825107,41.60556985343219,196.8386330810779 
							",,,,yellow
184,R5-S21,"
								0.6067590186260641,41.60559841291178,196.9006149401086 0.6067149470553912,41.60563085509965,196.8382592036527 0.6066970820203199,41.60561785727469,196.8364169890931 0.6067406951298437,41.60558442548125,196.8241684030587 0.6067590186260641,41.60559841291178,196.9006149401086 
							",,,,yellow
185,R5-S22,"
								0.6067621813170332,41.60560062210828,196.8999026971769 0.6067803107676739,41.60561402650846,196.8827028940901 0.6067361307175956,41.60564531545482,196.8216318083327 0.6067174450935076,41.60563216449277,196.8523061614635 0.6067621813170332,41.60560062210828,196.8999026971769 
							",,,,yellow
186,R5-S23,"
								0.6067993598637544,41.60562856046623,196.8602690036863 0.6067564489373622,41.60566110280957,196.8048323733771 0.6067379583717036,41.60564754713585,196.8216342853821 0.6067819160829346,41.6056152900503,196.8847072386734 0.6067993598637544,41.60562856046623,196.8602690036863 
							",,,,yellow
187,R5-S24,"
								0.6068017801879955,41.60563096288489,196.854286799369 0.6068195121617848,41.60564399208273,196.9372061860695 0.6067768151499586,41.60567639878016,196.8234833341081 0.6067588416417968,41.60566231067361,196.8134367190384 0.6068017801879955,41.60563096288489,196.854286799369 
							",,,,yellow
188,R5-S25,"
								0.6068224007157608,41.60564587090593,196.9513122351586 0.6068400867872281,41.60565872619851,196.8216360140824 0.6067958604696999,41.60569225905861,196.8339221165922 0.6067785059633879,41.60567797594896,196.8223183966157 0.6068224007157608,41.60564587090593,196.9513122351586 
							",,,,yellow
189,R5-S26,"
								0.6068160437655346,41.60570672416931,196.8042916226121 0.6067989758230552,41.60569409570236,196.8171211255233 0.606840656396348,41.60566163202245,196.8216310713009 0.6068594435585339,41.60567445439423,196.86027357583 0.6068160437655346,41.60570672416931,196.8042916226121 
							",,,,yellow
190,R5-S27,"
								0.6068620195267926,41.60567639478622,196.8602664049772 0.6068813400260931,41.60569029682534,196.8602661460966 0.6068374855671488,41.60572194988524,196.8898934005319 0.6068189150583381,41.60570894447988,196.8072228306796 0.6068620195267926,41.60567639478622,196.8602664049772 
							",,,,yellow
191,R5-S28,"
								0.6068819294300387,41.60569160953136,196.8602661390233 0.606901216467246,41.60570590540433,196.8740942592148 0.6068576196382791,41.60573735529051,196.8216334210319 0.6068398186582491,41.6057237045472,196.9066260697418 0.6068819294300387,41.60569160953136,196.8602661390233 
							",,,,yellow
192,R5-S29,"
								0.6069206397567428,41.60572097751428,196.8856418600894 0.6068776812610621,41.60575274612533,196.8510235238097 0.6068597232692485,41.60573903680802,196.8216335370331 0.6069027735742294,41.60570742413918,196.8712599828556 0.6069206397567428,41.60572097751428,196.8856418600894 
							",,,,yellow
193,R5-S30,"
								0.6069407714391639,41.60573602316349,196.9029149363046 0.606896505260901,41.60576807600257,196.9364669219388 0.6068791141130192,41.60575499920237,196.8601230996798 0.6069229587046765,41.60572295680732,196.8892779747219 0.6069407714391639,41.60573602316349,196.9029149363046 
							",,,,yellow
194,R5-S31,"
								0.6069434255253348,41.60573853311963,196.9047355081584 0.6069606015887463,41.60575139300148,196.8988965072838 0.6069174946261868,41.605784326312,196.8900535797554 0.6068984294568036,41.60576953953724,196.948438723526 0.6069434255253348,41.60573853311963,196.9047355081584 
							",,,,yellow
195,R5-S32,"
								0.6069844898019938,41.60576998626576,196.8989057279621 0.6070025837738746,41.60578329806752,196.8988986009634 0.606960500416136,41.60581388613657,196.9336800943015 0.606942591743711,41.60580118361269,196.8859220708148 0.6069844898019938,41.60576998626576,196.8989057279621 
							","[[404 118]
 [381 125]
 [387 128]
 [411 120]]",R5-S32,Free,green
196,R5-S33,"
								0.6070043708017403,41.60578439170101,196.8979175946411 0.6070226853027161,41.60579782334047,196.915564928822 0.6069789975052164,41.60583021220877,196.9154437401376 0.6069628805486471,41.60581727917911,196.9134601512756 0.6070043708017403,41.60578439170101,196.8979175946411 
							","[[389 128]
 [393 131]
 [418 121]
 [411 120]]",R5-S33,Free,green
197,R5-S34,"
								0.6070248546313128,41.60580028254747,196.9327833854626 0.6070436952872482,41.60581311437016,196.8989012590878 0.6069988704058416,41.60584617560613,196.8989037856498 0.6069825608952795,41.60583335671348,196.9020641144158 0.6070248546313128,41.60580028254747,196.9327833854626 
							",,,,yellow
198,R5-S35,"
								0.6070449473851536,41.60581468038895,196.9018441988344 0.6070636514659178,41.60582817014943,196.8989020753399 0.6070199929246356,41.60586052499,196.860266240878 0.607002683379978,41.60584730653881,196.9163908104595 0.6070449473851536,41.60581468038895,196.9018441988344 
							","[[406 130]
 [411 131]
 [431 125]
 [421 121]]",R5-S35,Free,green
199,R5-S36,"
								0.6070846286220899,41.60584378023471,196.8989015448468 0.6070411800563247,41.60587628747045,196.8602708002898 0.6070214880405667,41.60586186866568,196.8602661941946 0.6070656380460582,41.60583213935821,196.9209919586194 0.6070846286220899,41.60584378023471,196.8989015448468 
							","[[415 131]
 [425 137]
 [445 128]
 [433 126]]",R5-S36,Free,green
200,R5-S37,"
								0.6070862239948038,41.60584594439823,196.898899021114 0.6071040260825078,41.60585898188369,196.8989004202013 0.6070609733608601,41.60589088041256,196.8377805389767 0.607042792036514,41.60587754650047,196.8602661135597 0.6070862239948038,41.60584594439823,196.898899021114 
							","[[433 138]
 [442 142]
 [465 135]
 [452 131]]",R5-S37,Free,green
201,R5-S38,"
								0.6071064552422412,41.60586147547832,196.8989026892973 0.6071256315228446,41.60587524944204,196.898897810175 0.6070810072462107,41.60590609698681,196.8602730410929 0.6070630150343903,41.60589276269677,196.8454678897411 0.6071064552422412,41.60586147547832,196.8989026892973 
							","[[445 143]
 [453 145]
 [475 137]
 [464 133]]",R5-S38,Free,green
202,R5-S39,"
								0.6071264447411373,41.60587682101865,196.898897834224 0.6071449479944269,41.60588944082867,196.8989055072769 0.6071038303322518,41.60591530804589,198.0601965284339 0.6070847104539312,41.60590801568373,196.8602730212878 0.6071264447411373,41.60587682101865,196.898897834224 
							","[[457 145]
 [465 150]
 [492 140]
 [477 133]]",R5-S39,Free,green
203,R5-S40,"
								0.607147837083255,41.60589229190141,196.8988986278418 0.6071656613918641,41.60590565355724,196.8989047730744 0.6071224310216605,41.6059366989892,196.8602664714657 0.6071049078883761,41.60592349847597,196.8602648686691 0.607147837083255,41.60589229190141,196.8988986278418 
							","[[472 147]
 [482 152]
 [506 143]
 [491 138]]",R5-S40,Free,green
204,R5-S41,"
								0.6071675420118838,41.6059059549729,196.904462623897 0.6071850136757995,41.60591953161403,196.8988946710702 0.6071435560999072,41.605951449653,196.8602640962711 0.6071242447010072,41.60593828494638,196.8602687844158 0.6071675420118838,41.6059059549729,196.904462623897 
							","[[489 152]
 [499 155]
 [518 148]
 [506 145]]",R5-S41,Free,green
205,R5-S42,"
								0.6071881690632708,41.60592226469853,196.8988967831402 0.6072060579364535,41.60593596704601,196.9269518793951 0.6071628369891324,41.60596737207259,196.8683058560694 0.6071440856423371,41.60595345692983,196.8602664672218 0.6071881690632708,41.60592226469853,196.8988967831402 
							","[[506 157]
 [518 164]
 [545 152]
 [528 147]]",R5-S42,Free,green
206,R5-S43,"
								0.6072084197070327,41.60593753184454,196.9345588639841 0.6072255027077667,41.60595044368272,196.937536991695 0.6071832827438817,41.60598257479879,196.8851966532626 0.6071648599224733,41.60596869342638,196.8734300054007 0.6072084197070327,41.60593753184454,196.9345588639841 
							","[[523 162]
 [538 169]
 [562 157]
 [545 152]]",R5-S43,Free,green
207,R5-S44,"
								0.6072280325958257,41.60595289397128,196.9375323191113 0.607245846399258,41.60596602555042,196.9375330264355 0.6072020572364822,41.60599855175251,196.8988995940466 0.6071839332173368,41.60598408516063,196.8856565427251 0.6072280325958257,41.60595289397128,196.9375323191113 
							","[[541 165]
 [555 172]
 [582 164]
 [565 157]]",R5-S44,Free,green
208,R5-S45,"
								0.6072479810675202,41.60596785355615,196.937528445804 0.6072659878606168,41.60598092221733,196.9375355162167 0.607223342496197,41.60601318947079,196.8989009987925 0.6072058460311602,41.60600000872896,196.8989018079714 0.6072479810675202,41.60596785355615,196.937528445804 
							","[[562 172]
 [577 179]
 [604 167]
 [587 162]]",R5-S45,Free,green
209,R5-S46,"
								0.6072698680435318,41.60598316131639,196.9375355261192 0.6072880449350837,41.6059969913033,196.9625738662741 0.607243519902243,41.60602821488644,196.9218540609145 0.607226295509351,41.60601568939252,196.8989009124989 0.6072698680435318,41.60598316131639,196.9375355261192 
							","[[584 179]
 [600 186]
 [627 174]
 [609 169]]",R5-S46,Free,green
210,R5-S47,"
								0.6072890352410809,41.60599845062975,196.9652572378447 0.6073068184882757,41.60601161977465,196.9761694210981 0.6072642859698085,41.60604339739192,196.937539699332 0.6072469724182761,41.60603042884932,196.928131243472 0.6072890352410809,41.60599845062975,196.9652572378447 
							","[[604 184]
 [622 191]
 [649 180]
 [629 175]]",R5-S47,Free,green
211,R5-S48,"
								0.6073271924717361,41.60602670058282,196.9786924111505 0.6072846747869232,41.60605793346219,196.9375348414294 0.6072672552856617,41.60604414083188,196.937534895186 0.6073097881908796,41.60601345432111,196.9761646509037 0.6073271924717361,41.60602670058282,196.9786924111505 
							","[[629 192]
 [648 199]
 [673 186]
 [653 180]]",R5-S48,Free,green
212,R5-S49,"
								0.6073056313009872,41.60607397872794,196.9856396829467 0.6072871835783378,41.60606129966163,196.937534947528 0.607329683992146,41.60602817843963,196.9761693645122 0.6073471871516278,41.60604186750333,196.98336121487 0.6073056313009872,41.60607397872794,196.9856396829467 
							","[[651 199]
 [675 206]
 [697 194]
 [676 189]]",R5-S49,Free,green
213,R6-1,"
								0.6070411040868939,41.60572590881755,196.8989008078149 0.6070857069049129,41.60569411854341,196.9801469512191 0.6071030429526303,41.60570747875607,196.9375319597906 0.6070597985826853,41.60573982530269,196.935015669513 0.6070411040868939,41.60572590881755,196.8989008078149 
							",,,,yellow
214,R6-2,"
								0.6070611085618105,41.60574149008727,196.9226382160829 0.6071049691418584,41.60570890873616,196.9274749046157 0.6071235501023486,41.60572267862135,197.0394160465294 0.6070797931674132,41.60575484191826,196.886451527027 0.6070611085618105,41.60574149008727,196.9226382160829 
							","[[303 138]
 [317 145]
 [344 138]
 [330 133]]",R6-2,Free,green
215,R6-3,"
								0.6070823295836303,41.60575638609991,196.8763330449893 0.6071260074654417,41.60572436091011,197.0173920363526 0.6071441725259574,41.60573789312836,196.9562680059643 0.6071005214299396,41.60577044823589,196.8989030556912 0.6070823295836303,41.60575638609991,196.8763330449893 
							","[[347 142]
 [355 145]
 [328 153]
 [320 145]]",R6-3,Free,green
216,R6-4,"
								0.6071026638593535,41.60577220190199,196.8989006097642 0.6071463801956645,41.60573947555631,196.913382509713 0.6071638338469887,41.6057528426163,197.0842416029115 0.6071207578515381,41.6057855431251,196.8989002900536 0.6071026638593535,41.60577220190199,196.8989006097642 
							","[[355 145]
 [362 148]
 [340 155]
 [330 153]]",R6-4,Free,green
217,R6-5,"
								0.6071223041573215,41.60578714992934,196.8988979403226 0.6071660716393401,41.60575547090603,197.1702392815028 0.6071837829895266,41.6057681406111,197.1864850358072 0.6071409340368006,41.60580069187963,196.8989007682048 0.6071223041573215,41.60578714992934,196.8988979403226 
							","[[362 147]
 [366 147]
 [345 159]
 [337 155]]",R6-5,Free,green
218,R6-6,"
								0.6071434705196044,41.60580214040786,196.8989032311076 0.6071868430617022,41.605770067142,197.114602410542 0.6072048339551372,41.60578377115624,196.9779795061634 0.6071605577367856,41.60581605820357,196.8989021262672 0.6071434705196044,41.60580214040786,196.8989032311076 
							","[[345 157]
 [352 162]
 [379 152]
 [364 147]]",R6-6,Free,green
219,R6-7,"
								0.6071622276642219,41.60581805011152,196.8988999703431 0.6072065624812395,41.60578575162167,196.9357234294239 0.6072241794709266,41.6058000745584,196.9277583676178 0.6071812424751477,41.60583093502604,196.8988995997052 0.6071622276642219,41.60581805011152,196.8988999703431 
							","[[354 162]
 [369 169]
 [403 157]
 [384 150]]",R6-7,Free,green
220,R6-8,"
								0.6071826658535029,41.6058330909709,196.8988994016544 0.6072260661033368,41.60580118407228,196.846071213234 0.6072439880884728,41.60581489455466,196.9883282293011 0.6072015590853019,41.6058471740206,196.9375323841851 0.6071826658535029,41.6058330909709,196.8988994016544 
							","[[401 157]
 [413 160]
 [387 172]
 [379 167]]",R6-8,Free,green
221,R6-9,"
								0.6072036473278009,41.60584899170399,196.9375346532811 0.6072468274323928,41.6058163765665,196.9906345984882 0.6072638294476485,41.60583095452665,197.092582058646 0.6072224769621926,41.60586199482073,196.922296729862 0.6072036473278009,41.60584899170399,196.9375346532811 
							","[[413 160]
 [420 162]
 [398 174]
 [386 170]]",R6-9,Free,green
222,R6-10,"
								0.6072663661503963,41.60583219966153,196.9715389727407 0.6072850999379176,41.60584607436236,197.0219149275777 0.6072424564579704,41.60587769582216,196.8989007809366 0.607223183807315,41.60586389214359,196.9320472123386 0.6072663661503963,41.60583219966153,196.9715389727407 
							","[[423 162]
 [438 167]
 [411 180]
 [398 175]
 [398 175]]",R6-10,Free,green
223,R6-11,"
								0.6072440265486878,41.60587883315621,196.8988961408899 0.6072871635261978,41.60584735846597,196.9991691963249 0.607306623361521,41.60586033682897,196.8412650443258 0.6072618295335341,41.60589283887204,196.9065813555352 0.6072440265486878,41.60587883315621,196.8988961408899 
							","[[443 170]
 [462 175]
 [423 189]
 [413 182]]",R6-11,Free,green
224,R6-12,"
								0.6072636255829433,41.60589465646598,196.9127735912856 0.6073079591330144,41.60586227446694,196.8458679254298 0.607325915068293,41.60587531278226,196.8773245847836 0.6072821828319408,41.60590808266326,196.9375381092672 0.6072636255829433,41.60589465646598,196.9127735912856 
							","[[465 175]
 [480 179]
 [440 196]
 [428 189]]",R6-12,Free,green
225,R6-13,"
								0.607284464065263,41.60590974789843,196.9375358486591 0.6073287201088529,41.60587714165958,196.8855802040536 0.6073462282162967,41.60589047577486,196.8864648332098 0.6073023821479206,41.60592339449579,196.9334015627637 0.607284464065263,41.60590974789843,196.9375358486591 
							","[[484 182]
 [501 187]
 [464 201]
 [448 194]]",R6-13,Free,green
226,R6-14,"
								0.6073047634613871,41.60592521207191,196.9248441565508 0.6073489221689776,41.60589274518278,196.8814162671278 0.6073664419442482,41.60590540211745,196.8812444014939 0.6073236090041934,41.60593841906558,196.9375373283813 0.6073047634613871,41.60592521207191,196.9248441565508 
							","[[504 187]
 [523 192]
 [482 208]
 [467 201]]",R6-14,Free,green
227,R6-15,"
								0.6073250458726576,41.60594050194819,196.9375396766976 0.6073688885355177,41.60590800779237,196.8881135224539 0.6073865377062426,41.6059206556151,196.9501532476773 0.6073425889437734,41.60595338858766,196.9720143554324 0.6073250458726576,41.60594050194819,196.9375396766976 
							","[[523 196]
 [545 201]
 [502 216]
 [489 209]]",R6-15,Free,green
228,R6-16,"
								0.6073448355641431,41.60595533707793,196.9501363723366 0.6073892392313862,41.60592251789011,196.9667443218997 0.6074062084346687,41.60593549175337,197.100159554889 0.6073638633746903,41.60596867237057,196.9650530008115 0.6073448355641431,41.60595533707793,196.9501363723366 
							","[[551 201]
 [570 206]
 [524 224]
 [509 216]]",R6-16,Free,green
229,R6-17,"
								0.6073650540949727,41.60597095915391,196.9610891857067 0.6074115175620864,41.60593618658655,196.9308618543965 0.6074306368360105,41.60594988823602,196.9586536166814 0.6073835963492047,41.60598461154898,196.9829982429693 0.6073650540949727,41.60597095915391,196.9610891857067 
							","[[572 209]
 [597 216]
 [558 235]
 [533 226]]",R6-17,Free,green
230,R6-18,"
								0.6073853159150544,41.60598628735531,196.987417318807 0.607428480635932,41.6059535803686,196.9761692074862 0.6074469664185367,41.60596676377595,196.9559839572977 0.6074030214043491,41.60599930360072,197.0148045793581 0.6073853159150544,41.60598628735531,196.987417318807 
							","[[562 233]
 [584 243]
 [619 224]
 [597 216]]",R6-18,Free,green
231,R7-S1,"
								0.6071053881689714,41.60570505987013,196.9264160756557 0.6070875384974705,41.6056930193797,197.0169323109893 0.6071310709405209,41.60565963831628,196.9131840628356 0.607148577292449,41.60567346410882,196.9301260278614 0.6071053881689714,41.60570505987013,196.9264160756557 
							","[[246 150]
 [254 153]
 [283 148]
 [273 143]]",R7-S1,Free,green
232,R7-S2,"
								0.6071264244061036,41.60572071792558,196.9636379930923 0.6071077059083918,41.60570685759433,196.906080321024 0.6071507826279032,41.60567479830727,196.9272327111513 0.6071686553972877,41.60568788187562,196.9421992257873 0.6071264244061036,41.60572071792558,196.9636379930923 
							","[[256 153]
 [259 155]
 [284 150]
 [281 147]]",R7-S2,Free,green
233,R7-S3,"
								0.6071461555908297,41.60573662659587,196.9660939104202 0.6071278403506852,41.60572173427775,196.9508786878639 0.6071714260780925,41.60568958563831,196.9273646440902 0.6071898151517163,41.6057035263051,196.9375342260574 0.6071461555908297,41.60573662659587,196.9660939104202 
							","[[257 155]
 [262 160]
 [289 148]
 [283 147]]",R7-S3,Free,green
234,R7-S4,"
								0.6071650571921938,41.60575135758738,196.9918938208818 0.6071490677599356,41.6057383918603,196.9047850816823 0.6071909740774317,41.60570555713414,196.937534223228 0.607209603729213,41.60571896192784,196.9375343816687 0.6071650571921938,41.60575135758738,196.9918938208818 
							","[[262 157]
 [274 160]
 [298 150]
 [288 147]]",R7-S4,Free,green
235,R7-S5,"
								0.6071855572064599,41.60576548314391,197.0525908382364 0.6071691666116186,41.60575254925559,196.8775759098034 0.6072114830555475,41.60571988168959,196.9375344198642 0.6072295964746921,41.605733807116,196.9839463304234 0.6071855572064599,41.60576548314391,197.0525908382364 
							","[[278 160]
 [293 167]
 [311 153]
 [300 147]]",R7-S5,Free,green
236,R7-S6,"
								0.6072069134168601,41.60578234179993,196.9454031752367 0.6071891827815801,41.60576851941598,197.0127067689551 0.6072320866018166,41.60573526505335,196.9760824258802 0.6072501724275137,41.60574913815746,196.9688606090254 0.6072069134168601,41.60578234179993,196.9454031752367 
							","[[293 167]
 [303 177]
 [332 165]
 [318 157]]",R7-S6,Occupied,red
237,R7-S7,"
								0.6072262387204974,41.6057984774959,196.9253531512885 0.6072096333377486,41.60578507962015,196.9375320390109 0.6072520391142988,41.60575072471305,196.9863761135367 0.6072701130607983,41.60576445962995,196.9480825730599 0.6072262387204974,41.6057984774959,196.9253531512885 
							","[[311 177]
 [320 182]
 [345 177]
 [338 170]]",R7-S7,Free,green
238,R7-S8,"
								0.6072463882127721,41.60581202450916,196.9519105805038 0.6072291082020898,41.60579910060236,196.8363466471161 0.6072727997949134,41.60576521547964,196.9375066672919 0.6072907987051557,41.60577977663586,196.9761685298697 0.6072463882127721,41.60581202450916,196.9519105805038 
							","[[350 172]
 [364 177]
 [338 189]
 [325 184]]",R7-S8,Free,green
239,R7-S9,"
								0.607267107753775,41.60582728877674,196.9868076392988 0.6072504956744429,41.60581301429664,196.9561128402547 0.607292730639668,41.60578087099266,196.9761661575043 0.6073107788105259,41.60579503153821,196.9804957794651 0.607267107753775,41.60582728877674,196.9868076392988 
							","[[338 191]
 [345 194]
 [372 180]
 [364 175]]",R7-S9,Free,green
240,R7-S10,"
								0.6072880330771291,41.60584202981497,197.2081413123767 0.6072698957555644,41.60582905427692,196.9605435671366 0.6073131376308649,41.60579669760231,196.9745583176473 0.6073315771885257,41.60581063280051,196.9433861256961 0.6072880330771291,41.60584202981497,197.2081413123767 
							","[[350 192]
 [364 199]
 [398 179]
 [381 172]]",R7-S10,Free,green
241,R7-S11,"
								0.607307939243964,41.60585790921217,196.8354997041932 0.607288375832693,41.60584483665375,197.0388881280401 0.6073328394739019,41.60581160764849,196.9405542217022 0.6073513414034304,41.60582509475516,196.9761704707672 0.607307939243964,41.60585790921217,196.8354997041932 
							","[[366 201]
 [384 208]
 [418 194]
 [401 182]]",R7-S11,Occupied,red
242,R7-S12,"
								0.6073280063016395,41.60587357208331,196.8783904756684 0.6073100743829696,41.60586013132498,196.8407769835551 0.607353699107962,41.60582676266721,196.976170564134 0.6073722691990868,41.60584120123826,197.0593985733585 0.6073280063016395,41.60587357208331,196.8783904756684 
							","[[389 208]
 [401 214]
 [436 201]
 [421 194]]",R7-S12,Free,green
243,R7-S13,"
								0.6073486273343609,41.60589041592362,196.8883158058577 0.6073307582578025,41.60587566099871,196.8875397919909 0.6073735844790717,41.60584239911939,197.0302767020635 0.6073923709467532,41.60585671621827,196.9761850925731 0.6073486273343609,41.60589041592362,196.8883158058577 
							","[[411 216]
 [425 223]
 [470 209]
 [448 202]]",R7-S13,Occupied,red
244,R7-S14,"
								0.6073684453946937,41.60590446278741,196.8816310277304 0.6073501384908808,41.6058909409135,196.8868773701465 0.6073940980075276,41.60585785196768,196.9761662239927 0.6074121524040055,41.6058720153051,196.9761665182396 0.6073684453946937,41.60590446278741,196.8816310277304 
							","[[431 226]
 [448 236]
 [496 218]
 [479 208]]",R7-S14,Free,green
245,R7-S15,"
								0.6073880991579306,41.60591914618846,196.9611088111239 0.607369396537758,41.60590596386155,196.8853992662795 0.6074142169306951,41.60587275784033,196.9761689528495 0.6074316670206281,41.60588704706075,196.9730872969249 0.6073880991579306,41.60591914618846,196.9611088111239 
							","[[452 236]
 [472 246]
 [518 224]
 [497 219]]",R7-S15,Free,green
246,R7-S16,"
								0.6074105020643605,41.6059336114225,197.1325427155769 0.607390981008129,41.60592032963365,197.0034332196249 0.6074348895010306,41.60588870162481,196.9760913791899 0.6074531037965625,41.60590267326259,196.9713613834393 0.6074105020643605,41.6059336114225,197.1325427155769 
							","[[479 245]
 [502 255]
 [543 235]
 [521 224]]",R7-S16,Occupied,red
247,R9-S1,"
								0.606008229464583,41.60543288417621,196.673457442504 0.6059670371790005,41.60540253976414,196.7125134940287 0.6059885118252817,41.60538331073685,196.6284623603165 0.6060312508618115,41.6054164380848,196.6102533230132 0.606008229464583,41.60543288417621,196.673457442504 
							",,,,yellow
248,R9-S2,"
								0.6060288014907855,41.60541415505851,196.6087398034236 0.6059903157130009,41.60538454654827,196.6234775015104 0.6060151131868952,41.60536174691487,196.6536263962255 0.6060591785320479,41.60539533161656,196.6778414661837 0.6060288014907855,41.60541415505851,196.6087398034236 
							",,,,yellow
249,R9-S3,"
								0.6060580709803176,41.605393702808,196.6740897266789 0.6060110968618027,41.60535925156127,196.668451335679 0.6060360451401459,41.60534049727837,196.8267942847331 0.6060833491164219,41.60537635294344,196.7620357679725 0.6060580709803176,41.605393702808,196.6740897266789 
							",,,,yellow
250,R9-S4,"
								0.6061053053658805,41.60535683365455,196.770976874929 0.6060805401490832,41.60537269443678,196.7014009923181 0.6060381631371436,41.6053386873816,196.7961988307874 0.6060635817256776,41.60532123513306,196.7057264057 0.6061053053658805,41.60535683365455,196.770976874929 
							",,,,yellow
251,R9-S5,"
								0.6060596713262534,41.60532002836992,196.7057313272618 0.606087737002996,41.60530206317468,196.705730762817 0.6061289816278315,41.60533725225854,196.7909077784088 0.606104181128897,41.60535301873217,196.7509476378245 0.6060596713262534,41.60532002836992,196.7057313272618 
							",,,,yellow
252,R9-S6,"
								0.6060725904069186,41.6052836626859,196.7195505351683 0.6061001029996826,41.60526685962215,196.9013950295775 0.6061590604935696,41.60531285002484,196.7579007054351 0.606132344624033,41.60533076065042,196.7829969004655 0.6060725904069186,41.6052836626859,196.7195505351683 
							",,,,yellow
253,R9-S7,"
								0.6061068584777396,41.6052641692274,196.6633627647549 0.6061352859790325,41.60524637363545,196.878778055378 0.6061883626177367,41.60529180075353,196.7417397932538 0.6061657859547176,41.60530841464244,196.7344781314122 0.6061068584777396,41.6052641692274,196.6633627647549 
							",,,,yellow
254,R9-S8,"
								0.6061468180578444,41.60524455326134,197.0337033482931 0.6061713190784768,41.60522274437254,196.7704949721228 0.6062167189152667,41.60526347173001,196.9166122043486 0.6061931452256464,41.60528098850149,196.7478373494162 0.6061468180578444,41.60524455326134,197.0337033482931 
							",,,,yellow
255,R9-S9,"
								0.6062438317694885,41.60525082467143,196.7575975165757 0.6062188554324499,41.60527009887864,196.8110616969645 0.6061858067148473,41.60522040445753,196.7633074718088 0.606217477320925,41.60520790892723,196.9479702796847 0.6062438317694885,41.60525082467143,196.7575975165757 
							",,,,yellow
